Word,Grade_Lv
exasperation,12
evanescent,12
ephemeral,12
enhance,12
enervating,12
empathy,12
divergent,12
disdain,12
discredit,12
digression,12
demagogue,12
deleterious,12
convergence,12
congregation,12
conformist,12
conditional,12
condescending,12
compromise,12
compassion,12
clairvoyant,12
circuitous,12
camaraderie,12
benevolent,12
asylum,12
arid,12
antagonist,12
anecdote,12
anachronistic,12
adversity,12
adulation,12
abstinence,12
abbreviate,12
,
