"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"","0","vizagindustrialscan","newspapers","linkedin.com/company/vizagindustrialscan","","vizag industrial scan","","11-50","viscan.in"
"united states","0","mineola-monitor","newspapers","linkedin.com/company/mineola-monitor","mineola","mineola monitor","texas","11-50","themineolamonitor.com"
"united states","0","mountain-view-standard-news","newspapers","linkedin.com/company/mountain-view-standard-news","mountain view","mountain view standard news","missouri","1-10","mountainviewstandard.com"
"canada","0","arch-energy-inc-","newspapers","linkedin.com/company/arch-energy-inc-","calgary","arch energy inc.","alberta","1-10",""
"india","0","rashtra-deepika-ltd","newspapers","linkedin.com/company/rashtra-deepika-ltd","kochi","rashtra deepika ltd","kerala","51-200","deepika.com"
"united states","0","video-eyes-llc","newspapers","linkedin.com/company/video-eyes-llc","fairfax","video eyes llc","virginia","1-10",""
"united kingdom","0","flourishing-futures-limited","newspapers","linkedin.com/company/flourishing-futures-limited","","flourishing futures limited","","1-10",""
"","0","digitallpost","newspapers","linkedin.com/company/digitallpost","","digitallpost","","11-50","digitallpost.mx"
"","0","the-journal-standard","newspapers","linkedin.com/company/the-journal-standard","","the journal-standard","","1-10","journalstandard.com"
"","0","picket-news","newspapers","linkedin.com/company/picket-news","","picket news","","1-10","picketnews.com"
"italy","0","the-italian-insider","newspapers","linkedin.com/company/the-italian-insider","rome","the italian insider","lazio","11-50","italianinsider.it"
"united states","0","king-county-journal-newspapers","newspapers","linkedin.com/company/king-county-journal-newspapers","","king county journal newspapers","","201-500",""
"belgium","0","commune-de-braine-l'alleud","newspapers","linkedin.com/company/commune-de-braine-l'alleud","","commune de braine l'alleud","","1-10","braine-lalleud.be"
"","0","newsweed-com","newspapers","linkedin.com/company/newsweed-com","","newsweed.com","","201-500","newsweed.com"
"united states","0","logan-daily-news","newspapers","linkedin.com/company/logan-daily-news","logan","logan daily news","ohio","11-50","logandaily.com"
"united states","0","the-sun-news","newspapers","linkedin.com/company/the-sun-news","","the sun news","","201-500",""
"united states","0","union-city-daily-messenger","newspapers","linkedin.com/company/union-city-daily-messenger","","union city daily messenger","tennessee","11-50","nwtntoday.com"
"brazil","0","plano-editorial","newspapers","linkedin.com/company/plano-editorial","duas pontes","plano editorial","espirito santo","51-200",""
"germany","0","djv-berlin-jvbb","newspapers","linkedin.com/company/djv-berlin-jvbb","berlin","djv berlin-jvbb","berlin","1-10","djv-berlin.de"
"united states","0","expo-management-group","newspapers","linkedin.com/company/expo-management-group","millbury","expo management group","massachusetts","1-10","worcestershows.com"
"india","0","drug-today-medical-times","newspapers","linkedin.com/company/drug-today-medical-times","delhi","drug today medical times","delhi","11-50",""
"portugal","0","drsetubalense","newspapers","linkedin.com/company/drsetubalense","setubal","diário da região","setubal","11-50","diariodaregiao.pt"
"france","0","in-magazines","newspapers","linkedin.com/company/in-magazines","bordeaux","in magazines","aquitaine","1-10","inmagazines-bordeaux.fr"
"bangladesh","0","gfmmagazine","newspapers","linkedin.com/company/gfmmagazine","","grain feed & milling magazine","","51-200","gfmdhaka.com"
"united kingdom","0","caledonian-mercury","newspapers","linkedin.com/company/caledonian-mercury","","caledonian mercury","","11-50","caledonianmercury.com"
"australia","0","desh-bidesh-online","newspapers","linkedin.com/company/desh-bidesh-online","","desh bidesh online","","1-10","deshbidesh.com.au"
"united kingdom","0","the-zimbabwean-limited","newspapers","linkedin.com/company/the-zimbabwean-limited","","the zimbabwean limited","southampton","1-10",""
"spain","0","columbus-telegram","newspapers","linkedin.com/company/columbus-telegram","","columbus telegram","madrid","51-200","columbustelegram.com"
"brazil","0","marta-araujo-reporter","newspapers","linkedin.com/company/marta-araujo-reporter","novo hamburgo","marta araujo | conteúdos jornalísticos","rio grande do sul","1-10","martaaraujo.com"
"united states","0","portland-tribune","newspapers","linkedin.com/company/portland-tribune","","portland tribune","","51-200",""
"serbia","0","politika-novine-i-magazini-d-o-o","newspapers","linkedin.com/company/politika-novine-i-magazini-d-o-o","belgrade","politika novine i magazini d.o.o","central serbia","1-10","politika.rs"
"united states","0","star-beacon-the","newspapers","linkedin.com/company/star-beacon-the","ashtabula","star beacon the","ohio","11-50","starbeacon.com"
"germany","0","grafschafter-nachrichten","newspapers","linkedin.com/company/grafschafter-nachrichten","nordhorn","grafschafter nachrichten","lower saxony","1-10","gnonline.de"
"united states","0","below-decks-inc","newspapers","linkedin.com/company/below-decks-inc","centreville","below decks inc","maryland","1-10",""
"australia","0","echo-newspaper","newspapers","linkedin.com/company/echo-newspaper","midland","echo newspaper","western australia","1-10","echonewspaper.com.au"
"united states","0","the-times-ottawa-il-the-small-newspaper-group","newspapers","linkedin.com/company/the-times-ottawa-il-the-small-newspaper-group","metairie","the times (ottawa, il) / the small newspaper group","louisiana","1-10","mywebtimes.com"
"united states","0","el-latino-semanal-inc.","newspapers","linkedin.com/company/el-latino-semanal-inc.","west palm beach","el latino semanal, inc.","florida","1-10","ellatinodigital.com"
"poland","0","świat-lekarza","newspapers","linkedin.com/company/świat-lekarza","polska","świat lekarza","kujawsko-pomorskie","1-10","swiatlekarza.pl"
"france","0","version-femina","newspapers","linkedin.com/company/version-femina","france","version femina","aquitaine","11-50","femina.fr"
"united states","0","newton-kansan","newspapers","linkedin.com/company/newton-kansan","newton","newton kansan","kansas","11-50","thekansan.com"
"united states","0","beloit-daily-news","newspapers","linkedin.com/company/beloit-daily-news","","beloit daily news","wisconsin","51-200","beloitdailynews.com"
"united states","0","century-news","newspapers","linkedin.com/company/century-news","dripping springs","century news","texas","1-10",""
"","0","philippinesgraphicpublicationsinc","newspapers","linkedin.com/company/philippinesgraphicpublicationsinc","","philippines graphic publications inc","","11-50","philippinesgraphic.com.ph"
"","0","consultant-self-employed-journalist","newspapers","linkedin.com/company/consultant-self-employed-journalist","","consultant/self-employed journalist","","1-10","emmahartley.org.uk"
"united states","0","hamilton-herald-news-the","newspapers","linkedin.com/company/hamilton-herald-news-the","harker heights","hamilton herald news the","texas","1-10","thehamiltonherald-news.com"
"united states","0","the-poly-post","newspapers","linkedin.com/company/the-poly-post","pomona","the poly post","california","11-50","thepolypost.com"
"turkey","0","sanayi-gazetesi","newspapers","linkedin.com/company/sanayi-gazetesi","","sanayi gazetesi","","1-10","sanayigazetesi.com.tr"
"france","0","la-croix-international","newspapers","linkedin.com/company/la-croix-international","montrouge","la croix international","ile-de-france","501-1000",""
"united kingdom","0","pembrokeshire-herald-ltd","newspapers","linkedin.com/company/pembrokeshire-herald-ltd","milford haven","pembrokeshire herald ltd","pembrokeshire","11-50","pembrokeshireherald.com"
"united states","0","tennessee-press-service-inc.","newspapers","linkedin.com/company/tennessee-press-service-inc.","knoxville","tennessee press service, inc.","tennessee","11-50","tnadvertising.biz"
"mexico","0","el-mañana-de-valles","newspapers","linkedin.com/company/el-mañana-de-valles","","el mañana de valles","coahuila","1-10","elmananadevalles.com.mx"
"new zealand","0","waikato-times","newspapers","linkedin.com/company/waikato-times","","waikato times","","1-10","waikatotimes.co.nz"
"united states","0","tucson-citizen","newspapers","linkedin.com/company/tucson-citizen","","tucson citizen","","201-500",""
"united states","0","the-island-packet","newspapers","linkedin.com/company/the-island-packet","","the island packet","","51-200",""
"united states","0","journal-register-company","newspapers","linkedin.com/company/journal-register-company","yardley","journal register company","pennsylvania","1001-5000","journalregister.com"
"germany","0","krautgaming","newspapers","linkedin.com/company/krautgaming","munich","krautgaming","bavaria","1-10","krautgaming.com"
"","0","greenpost-ua","newspapers","linkedin.com/company/greenpost-ua","","greenpost","","11-50","greenpost.ua"
"germany","0","peiner-allgemeine-zeitung","newspapers","linkedin.com/company/peiner-allgemeine-zeitung","peine","peiner allgemeine zeitung","lower saxony","1-10","paz-online.de"
"india","0","sadhana-weekly-gujarati","newspapers","linkedin.com/company/sadhana-weekly-gujarati","ahmadabad","sadhana weekly gujarati","gujarat","1-10","sadhanaweekly.com"
"united states","0","free-press-newspapers","newspapers","linkedin.com/company/free-press-newspapers","wilmington","free press newspapers","illinois","11-50","freepressnewspapers.com"
"united states","0","independent-coast-observer","newspapers","linkedin.com/company/independent-coast-observer","gualala","independent coast observer","california","11-50","mendonoma.com"
"","0","group-editors-p-l","newspapers","linkedin.com/company/group-editors-p-l","","group editors p/l","","1-10",""
"france","0","lyon-decideurs","newspapers","linkedin.com/company/lyon-decideurs","lyon","lyon decideurs","auvergne-rhône-alpes","1-10","lyondecideurs.com"
"","0","revistas-y-periodicos","newspapers","linkedin.com/company/revistas-y-periodicos","","revistas y periodicos","","1-10","ramorg.co.uk"
"","0","the-munich-times","newspapers","linkedin.com/company/the-munich-times","","the munich times","","1-10","themunichtimes.com"
"united kingdom","0","moor-magazine","newspapers","linkedin.com/company/moor-magazine","","moor magazine","","1-10","moormag.com"
"indonesia","0","pulsa-indomedia-pratama-pt","newspapers","linkedin.com/company/pulsa-indomedia-pratama-pt","jakarta","pulsa indomedia pratama, pt","jakarta","11-50",""
"united kingdom","0","nasz-rynek-ltd","newspapers","linkedin.com/company/nasz-rynek-ltd","","nasz rynek ltd","","1-10",""
"united states","0","nice-price-books","newspapers","linkedin.com/company/nice-price-books","raleigh","nice price books","north carolina","1-10","nicepricebooksandrecords.com"
"united states","0","claremore-daily-progress-the","newspapers","linkedin.com/company/claremore-daily-progress-the","claremore","claremore daily progress the","oklahoma","11-50",""
"germany","0","re.public","newspapers","linkedin.com/company/re.public","","re.public","","1-10","rebellius.de"
"india","0","drug-today","newspapers","linkedin.com/company/drug-today","delhi","drug today","delhi","51-200","drugtodayonline.com"
"united kingdom","0","mack-publishing-limited","newspapers","linkedin.com/company/mack-publishing-limited","broxbourne","mack publishing limited","hertfordshire","1-10","companycheck.co.uk/company/07901984/mack-publishing-limited/summary"
"united states","0","skanner-news-group","newspapers","linkedin.com/company/skanner-news-group","portland","skanner news group","oregon","11-50","theskanner.com"
"","0","eltecnologic","newspapers","linkedin.com/company/eltecnologic","","el tecnològic","","11-50","eltecnologic.cat"
"italy","0","opq-srl","newspapers","linkedin.com/company/opq-srl","","opq srl","","1-10","opq.it"
"united states","0","baltimore-examiner","newspapers","linkedin.com/company/baltimore-examiner","","baltimore examiner","","201-500",""
"france","0","l'oasis-de-la-connaissance","newspapers","linkedin.com/company/l'oasis-de-la-connaissance","","l'oasis de la connaissance","","1-10",""
"hong kong","0","le-petit-journal-hong-kong","newspapers","linkedin.com/company/le-petit-journal-hong-kong","hong kong","le petit journal hong kong","central and western","1-10",""
"united states","0","southeast-observer-newspaper","newspapers","linkedin.com/company/southeast-observer-newspaper","","southeast observer newspaper","illinois","1-10","southeastchicago.org"
"","0","edward-hodgett-limited","newspapers","linkedin.com/company/edward-hodgett-limited","","edward hodgett limited","","1-10",""
"","0","guangzhou-daily","newspapers","linkedin.com/company/guangzhou-daily","","guangzhou daily","","201-500","gzdaily.cn"
"united states","0","central-st-croix-news","newspapers","linkedin.com/company/central-st-croix-news","","central st croix news","wisconsin","1-10","centralstcroixnews.com"
"","0","dalia-m-dias","newspapers","linkedin.com/company/dalia-m-dias","","dalia médias","","1-10","danclarkappraisals.com"
"united states","0","freelance-journalist-and-photographer","newspapers","linkedin.com/company/freelance-journalist-and-photographer","","freelance journalist and photographer","new york","1-10","tomstoelker.com"
"ireland","0","the-mayo-news","newspapers","linkedin.com/company/the-mayo-news","","the mayo news","","11-50","mayonews.ie"
"","0","the-tokyo-shimbun","newspapers","linkedin.com/company/the-tokyo-shimbun","","the tokyo shimbun","","1-10","shepherdscenter.org"
"united states","0","panthernow","newspapers","linkedin.com/company/panthernow","miami","panthernow","florida","51-200","panthernow.com"
"france","0","magazine-vegetable","newspapers","linkedin.com/company/magazine-vegetable","morieres-les-avignon","magazine végétable","provence-alpes-cote d'azur","1-10","vegetable.fr"
"united states","0","amader-shomoy","newspapers","linkedin.com/company/amader-shomoy","san jose","amader shomoy","california","51-200","songbadsomoy.com"
"united kingdom","0","the-tweeddale-press-limited","newspapers","linkedin.com/company/the-tweeddale-press-limited","","the tweeddale press limited","edinburgh","1-10",""
"","0","jason-m.-olson-photography","newspapers","linkedin.com/company/jason-m.-olson-photography","","jason m. olson photography","","1-10",""
"australia","0","tenterfield-star","newspapers","linkedin.com/company/tenterfield-star","tenterfield","tenterfield star","new south wales","1-10","tenterfieldstar.com.au"
"united states","0","carthage-press","newspapers","linkedin.com/company/carthage-press","carthage","carthage press","missouri","11-50","carthagepress.com"
"","0","seepakgang-local-newspaper","newspapers","linkedin.com/company/seepakgang-local-newspaper","","seepakgang local newspaper","","1-10",""
"","0","wollongong-advertiser","newspapers","linkedin.com/company/wollongong-advertiser","","wollongong advertiser","","1-10",""
"turkey","0","dogan-gazetecilik-a.s","newspapers","linkedin.com/company/dogan-gazetecilik-a.s","","dogan gazetecilik a.s.","istanbul","201-500","dogangazetecilik.com.tr"
"united states","0","courgette-services-corp","newspapers","linkedin.com/company/courgette-services-corp","southfield","courgette services corp","michigan","1-10",""
"","0","presse-media-81","newspapers","linkedin.com/company/presse-media-81","","presse media 81","","1-10","yeates.co.uk"
"united states","0","pakistan-link","newspapers","linkedin.com/company/pakistan-link","sacramento","pakistan link","california","11-50","pakistanlink.org"
"italy","0","la-verita-s.r.l.","newspapers","linkedin.com/company/la-verita-s.r.l.","milan","la verita  s.r.l.","lombardia","11-50",""
"united states","0","curry-county-reporter","newspapers","linkedin.com/company/curry-county-reporter","gold beach","curry county reporter","oregon","11-50","currycountyreporter.com"
"united states","0","la-voz-latina","newspapers","linkedin.com/company/la-voz-latina","","la voz latina","","1-10","lavozlatinaonline.com"
"united states","0","saratoga-today-newspaper","newspapers","linkedin.com/company/saratoga-today-newspaper","saratoga springs","saratoga today newspaper","new york","11-50",""
"australia","0","zaman-avustralya","newspapers","linkedin.com/company/zaman-avustralya","","zaman avustralya","","1-10","zamanaustralia.com.au"
"united states","0","la-prensa-times","newspapers","linkedin.com/company/la-prensa-times","salt lake city","la prensa times","utah","1-10","laprensatimes.net"
"italy","0","quotidiano-bresciaoggi--edizioni-brescia","newspapers","linkedin.com/company/quotidiano-bresciaoggi--edizioni-brescia","","quotidiano bresciaoggi- edizioni brescia","","1-10","bresciaoggi.it"
"united states","0","rossmoor-news","newspapers","linkedin.com/company/rossmoor-news","walnut creek","rossmoor news","california","1-10","rossmoornews.com"
"germany","0","mokita_2","newspapers","linkedin.com/company/mokita_2","","mokita","","1-10","mokita.de"
"united kingdom","0","warrens-of-winchester-limited","newspapers","linkedin.com/company/warrens-of-winchester-limited","winchester","warrens of winchester limited","hampshire","1-10",""
"","0","estrategia","newspapers","linkedin.com/company/estrategia","","estrategia","","1-10","eaci.net"
"brazil","0","jornal-atual","newspapers","linkedin.com/company/jornal-atual","","jornal atual","","1-10","jornalatual.com.br"
"united states","0","northern-dispatch","newspapers","linkedin.com/company/northern-dispatch","calhoun","northern dispatch","georgia","1-10",""
"united states","0","iglesia-restauracion","newspapers","linkedin.com/company/iglesia-restauracion","seattle","iglesia restauracion","washington","1-10",""
"morocco","0","groupe-maroc-soir","newspapers","linkedin.com/company/groupe-maroc-soir","","groupe maroc soir","casablanca-settat","1-10","glazerconstruction.com"
"united states","0","the-budget-inn","newspapers","linkedin.com/company/the-budget-inn","jasper","the budget inn","georgia","1-10","thebudgetnewspaper.com"
"","0","corsicana-daily-sun","newspapers","linkedin.com/company/corsicana-daily-sun","","corsicana daily sun","","1-10","corsicanadailysun.com"
"oman","0","muscatmediagroup","newspapers","linkedin.com/company/muscatmediagroup","muscat","muscat media group","muscat","201-500",""
"paraguay","0","5diaspy","newspapers","linkedin.com/company/5diaspy","asuncion","5díaspy","central","51-200",""
"united states","0","new-haven-register","newspapers","linkedin.com/company/new-haven-register","","new haven register","","201-500",""
"united states","0","the-facts-newspaper---covering-brazoria-county-where-texas-began-","newspapers","linkedin.com/company/the-facts-newspaper---covering-brazoria-county-where-texas-began-","clute","the facts newspaper - covering brazoria county where texas began!","texas","1-10","thefacts.com"
"argentina","0","diario-cr-tica-de-la-argentina-","newspapers","linkedin.com/company/diario-cr-tica-de-la-argentina-","","diario ""crítica de la argentina""","","51-200","criticadigital.com"
"united states","0","monett-times","newspapers","linkedin.com/company/monett-times","monett","monett times","missouri","11-50","monett-times.com"
"united kingdom","0","exklusiv-aviation-limited","newspapers","linkedin.com/company/exklusiv-aviation-limited","farnborough","exklusiv aviation limited","hampshire","1-10",""
"united states","0","colby-free-press","newspapers","linkedin.com/company/colby-free-press","colby","colby free press","kansas","11-50",""
"united states","0","balaton-publishing-co","newspapers","linkedin.com/company/balaton-publishing-co","balaton","balaton publishing co","minnesota","1-10",""
"australia","0","thephoenixpress","newspapers","linkedin.com/company/thephoenixpress","springfield central","the phoenix press","queensland","1-10",""
"south africa","0","the-oppidan-press","newspapers","linkedin.com/company/the-oppidan-press","","the oppidan press","","51-200","theoppidanpress.com"
"united states","0","red-oak-express","newspapers","linkedin.com/company/red-oak-express","red oak","red oak express","iowa","11-50","redoakexpress.com"
"germany","0","hochtaunus-verlag-gmbh","newspapers","linkedin.com/company/hochtaunus-verlag-gmbh","","hochtaunus verlag gmbh","","1-10","hochtaunusverlag.de"
"","0","poder-ciudadano","newspapers","linkedin.com/company/poder-ciudadano","","poder ciudadano","","1-10","poderciudadano.com.mx"
"united kingdom","0","rotherham-advertiser","newspapers","linkedin.com/company/rotherham-advertiser","mexborough","rotherham advertiser","doncaster","1-10","rotherhamadvertiser.co.uk"
"united states","0","crestone-eagle","newspapers","linkedin.com/company/crestone-eagle","crestone","crestone eagle","colorado","1-10","crestoneeagle.com"
"","0","mojelektromobil","newspapers","linkedin.com/company/mojelektromobil","","môjelektromobil.sk","","1-10","mojelektromobil.sk"
"united states","0","tng-cwa","newspapers","linkedin.com/company/tng-cwa","cincinnati","tng cwa","ohio","1-10",""
"netherlands","0","studentenkrant-groningen","newspapers","linkedin.com/company/studentenkrant-groningen","","studentenkrant groningen","","11-50",""
"united states","0","new-mass-media","newspapers","linkedin.com/company/new-mass-media","hartford","new mass media","connecticut","11-50","newmassmedia.com"
"united states","0","montanakaimin","newspapers","linkedin.com/company/montanakaimin","missoula","montana kaimin","montana","51-200","montanakaimin.com"
"india","0","paprika-media-pvt-ltd","newspapers","linkedin.com/company/paprika-media-pvt-ltd","","paprika media pvt ltd","","51-200",""
"","0","ciel-&-espace","newspapers","linkedin.com/company/ciel-&-espace","","ciel & espace","","1-10","cieletespace.fr"
"united states","0","latino-usa-today","newspapers","linkedin.com/company/latino-usa-today","","latino usa today","","1-10","latinousatoday.com"
"united states","0","dropmusic","newspapers","linkedin.com/company/dropmusic","","dropmusic","","1-10","dropmusic.com.br"
"","0","new-jersey-press-media","newspapers","linkedin.com/company/new-jersey-press-media","","new jersey press media","","501-1000","njpressmediasolutions.com"
"","0","the-graphic","newspapers","linkedin.com/company/the-graphic","","the graphic","","1-10","thegraphicweekly.com"
"","0","national-mirror-newspaper","newspapers","linkedin.com/company/national-mirror-newspaper","","national mirror newspaper","","1-10","nationalmirroronline.net"
"italy","0","giro-fvg","newspapers","linkedin.com/company/giro-fvg","florida","giro fvg","veneto","1-10","girofvg.com"
"united kingdom","0","essexwire","newspapers","linkedin.com/company/essexwire","colchester","essexwire","essex","1-10","essexwire.news"
"","0","tu-nuevo-amanecer","newspapers","linkedin.com/company/tu-nuevo-amanecer","","tu nuevo amanecer","","1-10","tunuevoamanecer.net"
"united states","0","news-communications-newspapers","newspapers","linkedin.com/company/news-communications-newspapers","new york","news communications newspapers","new york","11-50","newscom.co.kr"
"","0","the-vanderbilt-vanguard","newspapers","linkedin.com/company/the-vanderbilt-vanguard","","the vanderbilt vanguard","","11-50","vanderbiltvanguard.com"
"bangladesh","0","bangla-online","newspapers","linkedin.com/company/bangla-online","","বাংলা","dhaka","11-50","bn.bangla.report"
"","0","bedford-bulletin","newspapers","linkedin.com/company/bedford-bulletin","","bedford bulletin","","1-10","bewebstudio.it"
"united states","0","thenortherner","newspapers","linkedin.com/company/thenortherner","highland heights","the northerner","kentucky","11-50","thenortherner.com"
"","0","ekhtarnalk","newspapers","linkedin.com/company/ekhtarnalk","","ekhtarnalk","","201-500","ekhtarnalk.com"
"sweden","0","gotlands-media","newspapers","linkedin.com/company/gotlands-media","visby","gotlands media","gotland","51-200","gotlandsmedia.se"
"united states","0","buchheit-news-management-inc","newspapers","linkedin.com/company/buchheit-news-management-inc","spartanburg","buchheit news management inc","south carolina","1-10",""
"united states","0","mower-county-shopper","newspapers","linkedin.com/company/mower-county-shopper","austin","mower county shopper","minnesota","1-10","mowercountyshopper.com"
"france","0","lexpress","newspapers","linkedin.com/company/lexpress","paris","l'express","ile-de-france","501-1000","lexpress.fr"
"senegal","0","aza-mag","newspapers","linkedin.com/company/aza-mag","","aza-mag","","1-10","aza-mag.com"
"new zealand","0","waitaki-herald","newspapers","linkedin.com/company/waitaki-herald","","waitaki herald","","1-10","timaruherald.co.nz"
"denmark","0","bryggebladet","newspapers","linkedin.com/company/bryggebladet","","bryggebladet","capital region","11-50","bryggebladet.dk"
"united states","0","standard-democrat","newspapers","linkedin.com/company/standard-democrat","sikeston","standard democrat","missouri","11-50","standard-democrat.com"
"united states","0","columbus-ledger-enquirer","newspapers","linkedin.com/company/columbus-ledger-enquirer","","columbus ledger-enquirer","","51-200",""
"united states","0","venezolanosilustres","newspapers","linkedin.com/company/venezolanosilustres","miami","venezolanosilustres","florida","11-50","venezolanosilustres.com"
"united states","0","wooster-weekly-news","newspapers","linkedin.com/company/wooster-weekly-news","wooster","wooster weekly news","ohio","11-50","woosterweeklynews.com"
"united kingdom","0","economic-journal","newspapers","linkedin.com/company/economic-journal","","economic journal","","1-10","economicjournal.co.uk"
"germany","0","hey-berlin-magazin","newspapers","linkedin.com/company/hey-berlin-magazin","berlin","hey berlin magazin","berlin","1-10","heyberlin.de"
"mexico","0","h-congreso-del-estado-de-tabasco","newspapers","linkedin.com/company/h-congreso-del-estado-de-tabasco","","h. congreso del estado de tabasco","","1-10","congresotabasco.gob.mx"
"united states","0","the-gardner-news","newspapers","linkedin.com/company/the-gardner-news","","the gardner news","","11-50","thegardnernews.com"
"united states","0","fernandina-beach-news-leader","newspapers","linkedin.com/company/fernandina-beach-news-leader","fernandina beach","fernandina beach news leader","florida","11-50",""
"canada","0","weyburn-this-week-ltd-","newspapers","linkedin.com/company/weyburn-this-week-ltd-","weyburn","weyburn this week ltd.","saskatchewan","11-50","weyburnthisweek.com"
"united kingdom","0","baby-grace-ltd","newspapers","linkedin.com/company/baby-grace-ltd","bromley","baby grace ltd","greater london","1-10",""
"france","0","megalopolis","newspapers","linkedin.com/company/megalopolis","","megalopolis","","1-10","megalopolismag.com"
"norway","0","apent","newspapers","linkedin.com/company/apent","","apent","oslo","1-10","apentrevue.com"
"united kingdom","0","the-independent","newspapers","linkedin.com/company/the-independent","london","the independent","england","201-500","independent.co.uk"
"united states","0","star-community-newspapers","newspapers","linkedin.com/company/star-community-newspapers","plano","star community newspapers","texas","201-500","acnpapers.com"
"germany","0","viamedia-consulting-kai-rutkowski","newspapers","linkedin.com/company/viamedia-consulting-kai-rutkowski","","viamedia consulting kai rutkowski","","1-10","viamedia-consulting.com"
"united states","0","roy-associates","newspapers","linkedin.com/company/roy-associates","londonderry","roy associates","new hampshire","1-10","royassociates.com"
"united kingdom","0","estate-agent-today","newspapers","linkedin.com/company/estate-agent-today","","estate agent today","kent","11-50","estateagenttoday.co.uk"
"united states","0","bangla-times","newspapers","linkedin.com/company/bangla-times","flushing","bangla times","new york","1-10","banglatimes.com"
"united states","0","new-world-cabinets","newspapers","linkedin.com/company/new-world-cabinets","grass valley","new world cabinets","california","1-10","newworldcabinetryllc.com"
"turkey","0","medyakesan","newspapers","linkedin.com/company/medyakesan","kesan","medya keşan","edirne","1-10","medyakesan.com.tr"
"","0","kids-animation-india-pvt-ltd-.","newspapers","linkedin.com/company/kids-animation-india-pvt-ltd-.","","kids animation india pvt ltd .","","1-10","klunene.co.za"
"united kingdom","0","imagine-nation-limited","newspapers","linkedin.com/company/imagine-nation-limited","","imagine nation limited","somerset","1-10",""
"united states","0","sunlight-graphics","newspapers","linkedin.com/company/sunlight-graphics","golden","sunlight graphics","colorado","1-10","sunlightgraphicscolorado.com"
"mexico","0","el-barlovento","newspapers","linkedin.com/company/el-barlovento","","el barlovento","","1-10","elbarlovento.com.mx"
"canada","0","the-calgary-journal","newspapers","linkedin.com/company/the-calgary-journal","calgary","the calgary journal","alberta","51-200","calgaryjournal.ca"
"italy","0","il-biellese","newspapers","linkedin.com/company/il-biellese","","il biellese","","1-10","ilbiellese.it"
"india","0","punekar.in","newspapers","linkedin.com/company/punekar.in","pune","punekar.in","maharashtra","1-10","thepunekar.com"
"united states","0","newhouse-news-service","newspapers","linkedin.com/company/newhouse-news-service","","newhouse news service","","11-50",""
"united states","0","the-times-of-noblesville","newspapers","linkedin.com/company/the-times-of-noblesville","noblesville","the times of noblesville","indiana","11-50","thetimes24-7.com"
"","0","the-pilot-news-group-plymouth-and-the-post-&-mail-columbia-city-","newspapers","linkedin.com/company/the-pilot-news-group-plymouth-and-the-post-&-mail-columbia-city-","","the pilot news group (plymouth) and the post & mail (columbia city)","","1-10","tower-hotels.com"
"united kingdom","0","the-tweeddale-press-group","newspapers","linkedin.com/company/the-tweeddale-press-group","kelso","the tweeddale press group","the scottish borders","1-10",""
"france","0","societe-alsacienne-de-publications---l'alsace","newspapers","linkedin.com/company/societe-alsacienne-de-publications---l'alsace","mulhouse","societe alsacienne de publications - l'alsace","alsace","1-10",""
"","0","mountakhab-net","newspapers","linkedin.com/company/mountakhab-net","","mountakhab.net","","1-10","mountakhab.net"
"united states","0","press-journal","newspapers","linkedin.com/company/press-journal","vero beach","press journal","florida","51-200",""
"norway","0","tvedestrandsposten","newspapers","linkedin.com/company/tvedestrandsposten","tvedestrand","tvedestrandsposten","aust-agder","1-10","tvedestrandsposten.no"
"united states","0","enterprise-journal","newspapers","linkedin.com/company/enterprise-journal","","enterprise journal","iowa","51-200","enterprise-journal.com"
"united states","0","el-vaquero","newspapers","linkedin.com/company/el-vaquero","denver","el vaquero","colorado","51-200","elvaq.com"
"united states","0","c-t-llc","newspapers","linkedin.com/company/c-t-llc","clackamas","c t llc","oregon","1-10",""
"united states","0","southtownstar","newspapers","linkedin.com/company/southtownstar","","southtownstar","","201-500",""
"united states","0","mature-focus","newspapers","linkedin.com/company/mature-focus","rock island","mature focus","illinois","1-10","maturefocusqc.com"
"united states","0","the-oakland-press","newspapers","linkedin.com/company/the-oakland-press","","the oakland press","","51-200","theoaklandpress.com"
"united states","0","wheatonrecord","newspapers","linkedin.com/company/wheatonrecord","wheaton","the wheaton record","illinois","11-50","wheatonrecord.com"
"spain","0","mpress-publicaciones","newspapers","linkedin.com/company/mpress-publicaciones","","mpress publicaciones","","1-10","mpresspublicaciones.com"
"","0","tarashe","newspapers","linkedin.com/company/tarashe","","tarashe","","1-10","tarashe.com"
"serbia","0","novosti","newspapers","linkedin.com/company/novosti","","novosti","","201-500",""
"united kingdom","0","anowar-associate-ltd","newspapers","linkedin.com/company/anowar-associate-ltd","","anowar associate ltd","sunderland","1-10",""
"united states","0","bill-gibson","newspapers","linkedin.com/company/bill-gibson","federal way","bill gibson","washington","1-10","billgibsonmusic.com"
"united states","0","1410-am","newspapers","linkedin.com/company/1410-am","portland","1410 am","oregon","1-10",""
"chile","0","el-mercurio","newspapers","linkedin.com/company/el-mercurio","","el mercurio","","1001-5000","elmercurio.com"
"united states","0","cowles-publishing-co-inc-","newspapers","linkedin.com/company/cowles-publishing-co-inc-","los angeles","cowles publishing co. inc.","california","1-10","spokesmanreview.com"
"united states","0","jerusalem-report","newspapers","linkedin.com/company/jerusalem-report","new york","jerusalem report","new york","11-50","jrep.com"
